Date de comptabilisation;Libelle simplifie;Libelle operation;Reference;Informations complementaires;Type operation;Categorie;Sous categorie;Debit;Credit;Date operation;Date de valeur;Pointage operation
28/05/2026;POISSONNERIE RO;POISSONNERIE RO;;SAINT ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-21,00;;28/05/2026;04/06/2026;0
27/05/2026;LMFR STEEL;LMFR STEEL;;SAINT ETIENNE-;Carte bancaire;Logement - maison;Travaux - Entretien;-8,99;;27/05/2026;04/06/2026;0
27/05/2026;DECATHLON MONTH;DECATHLON MONTH;;2534MONTHIEU/-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-12,99;;27/05/2026;04/06/2026;0
26/05/2026;MAGASIN U;U ETAB PAIEMENT;;RUNGIS-;Carte bancaire;Banque et assurances;Banque et assurance - autre;-9,83;;26/05/2026;04/06/2026;0
26/05/2026;PEAGE AUTOROUTE;ASF MONTBRISON;;VEDENE-;Carte bancaire;Transports;Peage et Stationnement;-2,50;;26/05/2026;04/06/2026;0
26/05/2026;BAR DU MARCHE RESTAURANT;BAR DU MARCHE R;;MARCIGNY-;Carte bancaire;Alimentation;Restaurant;-32,50;;26/05/2026;04/06/2026;0
24/05/2026;GUINGUETTE L'EAU A LA BOUCHE;GUINGUETTE L'EA;;GERGY-;Carte bancaire;Alimentation;Restaurant;-82,50;;24/05/2026;04/06/2026;0
22/05/2026;PEAGE AUTOROUTE;ASF NOIRETABLE;;VEDENE-;Carte bancaire;Transports;Peage et Stationnement;-5,80;;22/05/2026;04/06/2026;0
21/05/2026;AUCHAN DAC 283;AUCHAN DAC 283;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-14,10;;21/05/2026;04/06/2026;0
21/05/2026;AUCHAN DAC 283;AUCHAN DAC 283;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-35,52;;21/05/2026;04/06/2026;0
20/05/2026;AUCHAN HYP 283;AUCHAN HYP 283;;SAINT ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-2,96;;20/05/2026;04/06/2026;0
18/05/2026;LEROY MERLIN;LMFR ST ETIENNE;;SAINT PRIEST-;Carte bancaire;Logement - maison;Travaux - Entretien;-25,90;;18/05/2026;04/06/2026;0
18/05/2026;MEDIPARK;MEDIPARK;;SAINT ETIENNE-;Carte bancaire;Transports;Peage et Stationnement;-0,40;;18/05/2026;04/06/2026;0
18/05/2026;MAISON RAVEL;MAISON RAVEL;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-1,40;;18/05/2026;04/06/2026;0
18/05/2026;SAS MACODE;SAS MACODE;;SAINT-ETIENNE-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-27,65;;18/05/2026;04/06/2026;0
17/05/2026;PAUL;PAUL;;SAINT PRIEST-;Carte bancaire;Alimentation;Alimentation - autre;-3,60;;17/05/2026;04/06/2026;0
16/05/2026;SALAISON TORRIL;SALAISON TORRIL;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-25,34;;16/05/2026;04/06/2026;0
16/05/2026;AUCHAN DAC 283;AUCHAN DAC 283;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-36,50;;16/05/2026;04/06/2026;0
16/05/2026;FROMAG ST ETIEN;FROMAG ST ETIEN;;SAINT ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-11,92;;16/05/2026;04/06/2026;0
16/05/2026;POISSONNERIE RO;POISSONNERIE RO;;SAINT ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-17,15;;16/05/2026;04/06/2026;0
16/05/2026;L'ARTISTE NAPOL;L'ARTISTE NAPOL;;SAINT ETIENNE-;Carte bancaire;Alimentation;Restauration rapide;-13,00;;16/05/2026;04/06/2026;0
16/05/2026;SATORIZ;SATORIZ ST ETIE;;ST ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-41,37;;16/05/2026;04/06/2026;0
16/05/2026;LIDL 3653;LIDL 3653;;SAINT ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-25,07;;16/05/2026;04/06/2026;0
15/05/2026;GAMM'VERT;GAMM VERT;;VILLARS-;Carte bancaire;Alimentation;Alimentation - autre;-11,99;;15/05/2026;04/06/2026;0
15/05/2026;K'PRIM;K PRIM;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-5,44;;15/05/2026;04/06/2026;0
15/05/2026;DECATHLON;DECATHLON VILLA;;0083 VILLARS/-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-31,46;;15/05/2026;04/06/2026;0
14/05/2026;GAMM'VERT;GAMM VERT;;VILLARS-;Carte bancaire;Alimentation;Alimentation - autre;-25,09;;14/05/2026;04/06/2026;0
12/05/2026;PHARMACIE PONCELET;PHCIE MONTPLAIS;;ST ETIENNE-;Carte bancaire;Sante;Pharmacie;-3,98;;12/05/2026;04/06/2026;0
11/05/2026;PAYPAL;PAYPAL XCTRAIN;;LUXEMBOURG-;Carte bancaire;Shopping et services;Shopping et services - autre;-84,14;;11/05/2026;04/06/2026;0
11/05/2026;infonatic;infonatic;;ANDREZIEUX BO-;Carte bancaire;Logement - maison;Ameublement et appareil;-44,99;;11/05/2026;04/06/2026;0
10/05/2026;MAGASIN U;U ETAB PAIEMENT;;RUNGIS-;Carte bancaire;Banque et assurances;Banque et assurance - autre;-7,80;;10/05/2026;04/06/2026;0
09/05/2026;SALAISON TORRIL;SALAISON TORRIL;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-14,98;;09/05/2026;04/06/2026;0
09/05/2026;L'ARTISTE NAPOL;L'ARTISTE NAPOL;;SAINT ETIENNE-;Carte bancaire;Alimentation;Restauration rapide;-13,00;;09/05/2026;04/06/2026;0
09/05/2026;PEAGE AUTOROUTE;ASF VEAUCHETTE;;VEDENE-;Carte bancaire;Transports;Peage et Stationnement;-2,50;;09/05/2026;04/06/2026;0
09/05/2026;PEAGE AUTOROUTE;ASF ST GERMAIN;;VEDENE-;Carte bancaire;Transports;Peage et Stationnement;-4,20;;09/05/2026;04/06/2026;0
08/05/2026;CARREFOUR MARKET;MARKET;;SAINT ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-17,16;;08/05/2026;04/06/2026;0
08/05/2026;LIDL 3652;LIDL 3652;;FIRMINY-;Carte bancaire;Alimentation;Hyper/supermarche;-88,96;;08/05/2026;04/06/2026;0
08/05/2026;ECG;AREAS STETIENNE;;ST ETIENNE-;Carte bancaire;Alimentation;Restauration rapide;-1,75;;08/05/2026;04/06/2026;0
08/05/2026;DECATHLON;DECATHLON VILLA;;0083 VILLARS/-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-258,93;;08/05/2026;04/06/2026;0
08/05/2026;AUCHAN DAC 283;AUCHAN DAC 283;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-37,00;;08/05/2026;04/06/2026;0
06/05/2026;MAGASIN U;U ETAB PAIEMENT;;RUNGIS-;Carte bancaire;Banque et assurances;Banque et assurance - autre;-1,43;;06/05/2026;04/06/2026;0
04/05/2026;CARREFOUR MARKET;MARKET;;SAINT ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-4,95;;04/05/2026;04/06/2026;0
04/05/2026;DECATHLON MONTH;DECATHLON MONTH;;2534MONTHIEU/-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-61,98;;04/05/2026;04/06/2026;0
03/05/2026;PAUL BELLEVUE;PAUL BELLEVUE;;ST ETIENNE-;Carte bancaire;Shopping et services;Shopping et services - autre;-2,40;;03/05/2026;04/06/2026;0
03/05/2026;LE CAMION ROUGE;CAMION ROUGE;;ST ETIENNE-;Carte bancaire;Loisirs et vacances;Expo, musee, cinema;-8,00;;03/05/2026;04/06/2026;0
02/05/2026;GAMM'VERT;GAMM VERT;;SORBIERS-;Carte bancaire;Alimentation;Alimentation - autre;-30,98;;02/05/2026;04/06/2026;0
02/05/2026;SATORIZ;SATORIZ ST ETIE;;ST ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-43,76;;02/05/2026;04/06/2026;0
02/05/2026;L'ARTISTE NAPOL;L'ARTISTE NAPOL;;SAINT ETIENNE-;Carte bancaire;Alimentation;Restauration rapide;-13,00;;02/05/2026;04/06/2026;0
30/04/2026;DECATHLON BRON;DECATHLON BRON;;0121    BRON/-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-39,97;;30/04/2026;04/06/2026;0
30/04/2026;LES VELOS DE BE;LES VELOS DE BE;;LYON-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-69,00;;30/04/2026;04/06/2026;0
26/04/2026;PAUL BELLEVUE;PAUL BELLEVUE;;ST ETIENNE-;Carte bancaire;Shopping et services;Shopping et services - autre;-3,60;;26/04/2026;04/05/2026;0
26/04/2026;SAINT ETIENNE PARC AUTO;SEPASTETIENNEBS;;SEPA 2053688/-;Carte bancaire;Transports;Peage et Stationnement;-9,60;;26/04/2026;04/05/2026;0
25/04/2026;MAGASIN U;U ETAB PAIEMENT;;RUNGIS-;Carte bancaire;Banque et assurances;Banque et assurance - autre;-31,41;;25/04/2026;04/05/2026;0
25/04/2026;AUCHAN DAC 283;AUCHAN DAC 283;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-30,60;;25/04/2026;04/05/2026;0
25/04/2026;L'ARTISTE NAPOL;L'ARTISTE NAPOL;;SAINT ETIENNE-;Carte bancaire;Alimentation;Restauration rapide;-6,00;;25/04/2026;04/05/2026;0
25/04/2026;K'PRIM PRIMEUR;K'PRIM PRIMEUR;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-10,21;;25/04/2026;04/05/2026;0
25/04/2026;LMFR STEEL;LMFR STEEL;;SAINT ETIENNE-;Carte bancaire;Logement - maison;Travaux - Entretien;-35,65;;25/04/2026;04/05/2026;0
25/04/2026;POISSONNERIE RO;POISSONNERIE RO;;SAINT ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-18,02;;25/04/2026;04/05/2026;0
25/04/2026;AUCHAN DAC 283;AUCHAN DAC 283;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-42,02;;25/04/2026;04/05/2026;0
24/04/2026;PEAGE AUTOROUTE;ASF MONTBRISON;;VEDENE-;Carte bancaire;Transports;Peage et Stationnement;-1,20;;24/04/2026;04/05/2026;0
24/04/2026;PEAGE AUTOROUTE;ASF VEAUCHETTE;;VEDENE-;Carte bancaire;Transports;Peage et Stationnement;-1,20;;24/04/2026;04/05/2026;0
22/04/2026;DECATHLON MONTH;DECATHLON MONTH;;2534MONTHIEU/-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-5,90;;22/04/2026;04/05/2026;0
21/04/2026;EI HUANG HELENE;EI HUANG HELENE;;ST ETIENNE-;Carte bancaire;Loisirs et vacances;Bar;-12,00;;21/04/2026;04/05/2026;0
20/04/2026;DROULIAS ANDREA;DROULIAS ANDREA;;SAINT ETIENNE-;Carte bancaire;Sante;Consultation medicale;-40,02;;20/04/2026;04/05/2026;0
19/04/2026;PAYPAL;PAYPAL NETFLIX;;LUXEMBOURG-;Carte bancaire;Shopping et services;Shopping et services - autre;-14,99;;19/04/2026;04/05/2026;0
18/04/2026;DECATHLON MONTH;DECATHLON MONTH;;2534MONTHIEU/-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-4,99;;18/04/2026;04/05/2026;0
18/04/2026;L'ARTISTE NAPOL;L'ARTISTE NAPOL;;SAINT ETIENNE-;Carte bancaire;Alimentation;Restauration rapide;-3,00;;18/04/2026;04/05/2026;0
17/04/2026;RELAIS PONT DE L'ANE;RELAIS PONT DE;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-31,00;;17/04/2026;04/05/2026;0
17/04/2026;RELAIS PONT DE L'ANE;RELAIS PONT DE;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-0,09;;17/04/2026;04/05/2026;0
17/04/2026;ELECLERC;LECLERC BRICO;;ANDREZIEUX BO-;Carte bancaire;Logement - maison;Travaux - Entretien;-11,00;;17/04/2026;04/05/2026;0
17/04/2026;SPORT LOISIRS;SPORT2000ANDREZ;;ANDREZIEUX BO-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-15,48;;17/04/2026;04/05/2026;0
17/04/2026;SPORT LOISIRS;SPORT2000ANDREZ;;ANDREZIEUX BO-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-24,99;;17/04/2026;04/05/2026;0
17/04/2026;MARIE BLACHERE;MARIE BLACHERE;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-3,30;;17/04/2026;04/05/2026;0
16/04/2026;LA PERNA;LA PERNA;;PERNES-LES-FO-;Carte bancaire;Loisirs et vacances;Hotel;-25,20;;16/04/2026;04/05/2026;0
16/04/2026;PEAGE AUTOROUTE;ASF TAIN;;VEDENE-;Carte bancaire;Transports;Peage et Stationnement;-4,00;;16/04/2026;04/05/2026;0
15/04/2026;BISTROT DE LA GARE;SC RAPHIL;;PERNES-LES-FO-;Carte bancaire;Alimentation;Restaurant;-39,40;;15/04/2026;04/05/2026;0
15/04/2026;BORNE SORTIE;BORNE SORTIE;;ROUSSILLON-;Carte bancaire;Transports;Peage et Stationnement;-4,00;;15/04/2026;04/05/2026;0
14/04/2026;BISTROT DE LA GARE;SC RAPHIL;;PERNES-LES-FO-;Carte bancaire;Alimentation;Restaurant;-29,00;;14/04/2026;04/05/2026;0
14/04/2026;PEAGE AUTOROUTE;ASF VALENCE-S;;VEDENE-;Carte bancaire;Transports;Peage et Stationnement;-1,50;;14/04/2026;04/05/2026;0
13/04/2026;SATORIZ;SATORIZ ST ETIE;;ST ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-18,38;;13/04/2026;04/05/2026;0
13/04/2026;STATION SERVICE BP;ESSO ST ET BEAU;;SAINT 560919/-;Carte bancaire;Transports;Carburant;-20,50;;13/04/2026;04/05/2026;0
12/04/2026;FAYOLLE HERVE;FAYOLLE HERVE;;SAINT ETIENNE-;Carte bancaire;Shopping et services;Shopping et services - autre;-5,88;;12/04/2026;04/05/2026;0
11/04/2026;SALAISON TORRIL;SALAISON TORRIL;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-18,05;;11/04/2026;04/05/2026;0
11/04/2026;MAGASIN U;U ETAB PAIEMENT;;RUNGIS-;Carte bancaire;Banque et assurances;Banque et assurance - autre;-1,31;;11/04/2026;04/05/2026;0
10/04/2026;GAMM'VERT;GAMM VERT;;VILLARS-;Carte bancaire;Alimentation;Alimentation - autre;-63,25;;10/04/2026;04/05/2026;0
10/04/2026;SUMUP MERLE P;SUMUP MERLE P;;FR SAINT ETIENN-;Carte bancaire;Sante;Consultation medicale;-30,00;;10/04/2026;04/05/2026;0
10/04/2026;SAINT ETIENNE PARC AUTO;SEPASTETIENNEBS;;ST ET2938774/-;Carte bancaire;Transports;Peage et Stationnement;-2,10;;10/04/2026;04/05/2026;0
10/04/2026;VILLARS;VILLARS;;VILLARS-;Carte bancaire;Logement - maison;Ameublement et appareil;-31,99;;10/04/2026;04/05/2026;0
10/04/2026;POISSONNERIE RO;POISSONNERIE RO;;SAINT ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-35,98;;10/04/2026;04/05/2026;0
09/04/2026;SAINT ETIENNE PARC AUTO;SEPASTETIENNEBS;;ST ET2938774/-;Carte bancaire;Transports;Peage et Stationnement;-5,60;;09/04/2026;04/05/2026;0
08/04/2026;K'PRIM PRIMEUR;K'PRIM PRIMEUR;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-11,86;;08/04/2026;04/05/2026;0
06/04/2026;K'PRIM PRIMEUR;K'PRIM PRIMEUR;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-8,66;;06/04/2026;04/05/2026;0
06/04/2026;LMFR STEEL;LMFR STEEL;;SAINT ETIENNE-;Carte bancaire;Logement - maison;Travaux - Entretien;-16,00;;06/04/2026;04/05/2026;0
06/04/2026;MAGASIN U;U ETAB PAIEMENT;;RUNGIS-;Carte bancaire;Banque et assurances;Banque et assurance - autre;-1,69;;06/04/2026;04/05/2026;0
06/04/2026;RELAIS PONT DE L'ANE;RELAIS PONT DE;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-35,00;;06/04/2026;04/05/2026;0
06/04/2026;AUCHAN DAC 283;AUCHAN DAC 283;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-18,26;;06/04/2026;04/05/2026;0
05/04/2026;FARINER;FARINER;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-2,30;;05/04/2026;04/05/2026;0
05/04/2026;FERME DE LA CROIX;FERME DE LA CRO;;PELUSSIN-;Carte bancaire;Alimentation;Restaurant;-162,20;;05/04/2026;04/05/2026;0
04/04/2026;SALAISON TORRIL;SALAISON TORRIL;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-27,33;;04/04/2026;04/05/2026;0
04/04/2026;SATORIZ;SATORIZ ST ETIE;;ST ETIENNE-;Carte bancaire;Alimentation;Hyper/supermarche;-32,19;;04/04/2026;04/05/2026;0
04/04/2026;DAC UEP VL;DAC UEP VL;;RUNGIS-;Carte bancaire;Transports;Carburant;-55,51;;04/04/2026;04/05/2026;0
04/04/2026;A2 FOOD SERVICE;A2 FOOD SERVICE;;SAINT ETIENNE-;Carte bancaire;Alimentation;Restauration rapide;-3,00;;04/04/2026;04/05/2026;0
04/04/2026;FOIR'FOUILLE;FOIR'FOUILLE;;ST ETIENNE-;Carte bancaire;Logement - maison;Ameublement et appareil;-13,98;;04/04/2026;04/05/2026;0
04/04/2026;DECATHLON MONTH;DECATHLON MONTH;;2534MONTHIEU/-;Carte bancaire;Loisirs et vacances;Sport, Gym et Equipement;-9,99;;04/04/2026;04/05/2026;0
03/04/2026;ELECLERC;LECLERC BRICO;;ANDREZIEUX BO-;Carte bancaire;Logement - maison;Travaux - Entretien;-11,19;;03/04/2026;04/05/2026;0
03/04/2026;MARIE BLACHERE;MARIE BLACHERE;;ANDREZIEUX BO-;Carte bancaire;Alimentation;Alimentation - autre;-4,70;;03/04/2026;04/05/2026;0
02/04/2026;LE MOULIN DE ST VICTOR;SARL ALLIROL;;ST ETIENNE-;Carte bancaire;Alimentation;Alimentation - autre;-21,80;;02/04/2026;04/05/2026;0
01/04/2026;RELAIS PONT DE L'ANE;RELAIS PONT DE;;SAINT ETIENNE-;Carte bancaire;Transports;Carburant;-24,10;;01/04/2026;04/05/2026;0
01/04/2026;MAGASIN U;U ETAB PAIEMENT;;RUNGIS-;Carte bancaire;Banque et assurances;Banque et assurance - autre;-5,30;;01/04/2026;04/05/2026;0
01/04/2026;DAC UEP VL;DAC UEP VL;;RUNGIS-;Carte bancaire;Transports;Carburant;-60,03;;01/04/2026;04/05/2026;0
